step,eval_loss,train_loss
0,6.477452683448791,
1,,8.500018119812012
2,,10.287514686584473
3,,6.901156425476074
4,,5.452315807342529
5,,5.788128852844238
6,,7.864757537841797
7,,9.045390129089355
8,,11.415973663330078
9,,12.433300018310547
10,,6.417546272277832
11,,6.612325191497803
12,,5.174111366271973
13,,5.97430419921875
14,,4.6411004066467285
15,,7.300021648406982
16,,10.285391807556152
17,,6.5312347412109375
18,,8.762382507324219
19,,9.008904457092285
20,,4.24975061416626
21,,5.362618446350098
22,,7.96038818359375
23,,4.597132682800293
24,,5.712535858154297
25,,4.98239278793335
26,,1.9588969945907593
27,,7.105161666870117
28,,7.904491901397705
29,,6.653043270111084
30,,7.033346652984619
31,,4.730684280395508
32,,6.528207302093506
33,,5.056705951690674
34,,2.1083226203918457
35,,1.7307075262069702
36,,2.8632471561431885
37,,3.302231550216675
38,,4.470116138458252
39,,2.7214064598083496
40,,4.27331018447876
41,,4.410892486572266
42,,4.627983093261719
43,,4.008467197418213
44,,2.1600852012634277
45,,1.4546223878860474
46,,2.326079845428467
47,,1.4173866510391235
48,,2.6270298957824707
49,,3.317106246948242
50,,3.3809189796447754
50,2.2185630214214327,
51,,2.157564163208008
52,,2.971137762069702
53,,0.46418121457099915
54,,1.7137484550476074
55,,1.6457774639129639
56,,4.658262252807617
57,,2.4940085411071777
58,,4.776681423187256
59,,1.024195909500122
60,,4.005711555480957
61,,4.987010955810547
62,,2.994617462158203
63,,0.6681715846061707
64,,1.827620506286621
65,,1.8445478677749634
66,,3.091482162475586
67,,0.9022021293640137
68,,2.3971028327941895
69,,2.1486921310424805
70,,1.15019953250885
71,,0.5747101306915283
72,,2.123403787612915
73,,1.6975713968276978
74,,1.0563979148864746
75,,1.5190298557281494
76,,1.915602207183838
77,,0.5383539795875549
78,,0.18547414243221283
79,,2.317188262939453
80,,0.651849091053009
81,,1.96267831325531
82,,0.5068860650062561
83,,0.9672918319702148
84,,0.4595646560192108
85,,1.569551706314087
86,,2.942034959793091
87,,2.4655044078826904
88,,0.4539552330970764
89,,2.2347748279571533
90,,1.6436617374420166
